study_name,study_year,study,group,design,age,percent_males,trained_state,homol_heterol,fatigued_muscle,fatgued_limb,rel_load,abs_load,tul,sets_tul,setsXtul,rel_loadXsetsXtul,reps,sets_reps,setsXreps,rel_loadXsetsXreps,max_effort,tested_muscle,test_upper_lower,outcome_measure,outcome_type,IF_E_>75s,time_post_test,first_post,post_only,control_cond,m_preCON,m_postCON,sd_preCON,sd_postCON,niCON,m_preFAT,m_postFAT,sd_preFAT,sd_postFAT,niFAT,Notes
"Prieske et al., (2017)",2017,38,42,within,23.7,100,RA,homologous,Knee Extensors,dominant,100,,5.625,5,28.125,2812.5,,,,,Y,Knee Extensors,L,MVC (isokinetic - 240 degrees.second),S,N,180,N,N,Y,184.1,176.1,27.9,25.4,11,189.4,181.2,33.1,30.4,11,
"Prieske et al., (2017)",2017,38,42,within,23.7,100,RA,homologous,Knee Extensors,dominant,100,,5.625,5,28.125,2812.5,,,,,Y,Knee Extensors,L,MVC (isokinetic - 240 degrees.second),S,N,300,N,N,Y,184.1,180.8,27.9,27.3,11,189.4,186.4,33.1,32.2,11,
"Aboodarda et al., (2017)",2017,39,43,within,27.3,100,RA,heterologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,Y,278.6,275.8,49.6,48.12,11,293,287.63,55.7,58.15,11,
"Aboodarda et al., (2017)",2017,39,43,within,27.3,100,RA,heterologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,33.5,N,N,Y,278.6,262.6,49.6,42.41,11,293,269.28,55.7,49.87,11,
"Aboodarda et al., (2017)",2017,39,43,within,27.3,100,RA,heterologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,67,N,N,Y,278.6,253.9,49.6,32.22,11,293,267.04,55.7,43.93,11,
"Aboodarda et al., (2017)",2017,39,43,within,27.3,100,RA,heterologous,Knee Extensors,dominant,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,100.5,N,N,Y,278.6,245.9,49.6,35.97,11,293,265.79,55.7,43.66,11,
"Aboodarda et al., (2015)",2015,40,44,within,27.2,100,RA,heterologous,Elbow Flexors,dominant,100,,200,5,1000,100000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,30,Y,N,Y,592.57,587.78,165.3,191.01,9,548.81,508.86,209.58,171.7,9,Assumed that MVCs until 20% for fatiguing protocols lasted 200s as per https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005581
"Aboodarda et al., (2015)",2015,40,44,within,27.2,100,RA,heterologous,Elbow Flexors,dominant,100,,200,5,1000,100000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,180,N,N,Y,592.57,583.86,165.3,108.22,9,548.81,517.5,209.58,164.9,9,
"Aboodarda et al., (2015)",2015,40,44,within,27.2,100,RA,heterologous,Elbow Flexors,dominant,100,,200,5,1000,100000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,300,N,N,Y,592.57,571.97,165.3,172.33,9,548.81,504.79,209.58,178.36,9,
"Aboodarda et al., (2015)",2015,40,44,within,27.2,100,RA,heterologous,Elbow Flexors,bilateral,100,,200,5,1000,100000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,30,Y,N,Y,592.57,587.78,165.3,191.01,9,564.29,492.33,209.93,154.42,9,
"Aboodarda et al., (2015)",2015,40,44,within,27.2,100,RA,heterologous,Elbow Flexors,bilateral,100,,200,5,1000,100000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,180,N,N,Y,592.57,583.86,165.3,108.22,9,564.29,498.35,209.93,169.46,9,
"Aboodarda et al., (2015)",2015,40,44,within,27.2,100,RA,heterologous,Elbow Flexors,bilateral,100,,200,5,1000,100000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,300,N,N,Y,592.57,571.97,165.3,172.33,9,564.29,498.45,209.93,186.4,9,
"Kennedy et al., (2015) ",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,15,Y,N,N,,,,,,63.28,64.02,17.07,16.63,8,
"Kennedy et al., (2015) ",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,40,N,N,N,,,,,,63.28,62.3,17.07,16.04,8,
"Kennedy et al., (2015) ",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,65,N,N,N,,,,,,63.28,63.97,17.07,16.61,8,
"Kennedy et al., (2015) ",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,90,N,N,N,,,,,,63.28,61.71,17.07,15.47,8,
"Kennedy et al., (2015) ",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,115,N,N,N,,,,,,63.28,60.05,17.07,15.6,8,
"Kennedy et al., (2015) ",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,145,N,N,N,,,,,,63.28,62.24,17.07,15.71,8,
"Kennedy et al., (2015) ",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,215,N,N,N,,,,,,63.28,59.27,17.07,20.37,8,
"Kennedy et al., (2015) ",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,285,N,N,N,,,,,,63.28,60.07,17.07,17.12,8,
"Kennedy et al., (2015) ",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,355,N,N,N,,,,,,63.28,62.67,17.07,16.93,8,
"Kennedy et al., (2015) - with cuff",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,15,Y,N,N,,,,,,60.29,60.86,16.1,20,8,
"Kennedy et al., (2015) - with cuff",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,40,N,N,N,,,,,,60.29,61.45,16.1,21.5,8,
"Kennedy et al., (2015) - with cuff",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,65,N,N,N,,,,,,60.29,63.46,16.1,21.82,8,
"Kennedy et al., (2015) - with cuff",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,90,N,N,N,,,,,,60.29,62.78,16.1,18.43,8,
"Kennedy et al., (2015) - with cuff",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,115,N,N,N,,,,,,60.29,62.49,16.1,16.37,8,
"Kennedy et al., (2015) - with cuff",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,145,N,N,N,,,,,,60.29,61.39,16.1,19.49,8,
"Kennedy et al., (2015) - with cuff",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,215,N,N,N,,,,,,60.29,57.67,16.1,16.88,8,
"Kennedy et al., (2015) - with cuff",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,285,N,N,N,,,,,,60.29,59.7,16.1,15.33,8,
"Kennedy et al., (2015) - with cuff",2015,41,45,within,23,80,RA,homologous,Knee Extensors,non-dominant,100,,120,1,120,12000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,355,N,N,N,,,,,,60.29,62.25,16.1,17.66,8,
"Paillard et al., (2010)",2010,42,46,within,21.7,100,RA,homologous,Knee Extensors,dominant,10,,300,10,3000,30000,,,,,Y,Knee Extensors,L,MVC (isometric,S,N,0,Y,N,N,,,,,,195.85,193.32,37.96,36.44,8,
"Paillard et al., (2010) - NMES",2010,42,46,within,21.7,100,RA,homologous,Knee Extensors,dominant,10,,300,10,3000,30000,,,,,Y,Knee Extensors,L,MVC (isometric,S,N,0,Y,N,N,,,,,,190.28,190.79,35.43,25.81,8,
"Zijdewind et al., (1998)",1988,43,47,within,35,50,RA,homologous,Elbow Flexors,right,30,,582,1,582,17460,,,,,Y,Elbow Flexors,U,30% MVC Isometric Time to Task Failure,E,Y,0,Y,Y,Y,,582,,248,7,,805,,291,7,"Control is right limb, with fatigue condition being the left limb immediately post the right limb fatiguing protocol"
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,2,48,4080,,,,,Y,Arms,U,85% 1RM Bench Press Repetitions to Failure,E,N,35,Y,Y,Y,,4.9,,1.2,10,,4.7,,1.1,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,4,96,8160,,,,,Y,Arms,U,85% 1RM Bench Press Repetitions to Failure,E,N,188,N,Y,Y,,4.1,,1.2,10,,4,,1.1,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,6,144,12240,,,,,Y,Arms,U,85% 1RM Bench Press Repetitions to Failure,E,N,341,N,Y,Y,,3.6,,1,10,,3.3,,0.9,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,8,192,16320,,,,,Y,Arms,U,85% 1RM Bench Press Repetitions to Failure,E,N,494,N,Y,Y,,3.1,,0.8,10,,2.8,,1,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,2,48,4080,,,,,Y,Arms,U,85% 1RM Bench Press Peak Power,P,N,35,Y,Y,Y,,433,,107,10,,436,,129,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,4,96,8160,,,,,Y,Arms,U,85% 1RM Bench Press Peak Power,P,N,188,N,Y,Y,,419,,135,10,,407,,92.6,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,6,144,12240,,,,,Y,Arms,U,85% 1RM Bench Press Peak Power,P,N,341,N,Y,Y,,389,,77,10,,402,,90.4,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,8,192,16320,,,,,Y,Arms,U,85% 1RM Bench Press Peak Power,P,N,494,N,Y,Y,,367,,110,10,,362,,82,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,2,48,4080,,,,,Y,Arms,U,85% 1RM Bench Press Average Power,P,N,35,Y,Y,Y,,293,,76.3,10,,277,,86.3,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,4,96,8160,,,,,Y,Arms,U,85% 1RM Bench Press Average Power,P,N,188,N,Y,Y,,275,,79.4,10,,267,,62.3,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,6,144,12240,,,,,Y,Arms,U,85% 1RM Bench Press Average Power,P,N,341,N,Y,Y,,265,,58.3,10,,264,,58.8,10,
"Alcaraz et al., (2008)",2008,44,48,within,26,100,T,heterologous,Legs (knee extension and plantar flexion),bilateral,85,,24,8,192,16320,,,,,Y,Arms,U,85% 1RM Bench Press Average Power,P,N,494,N,Y,Y,,248,,83.2,10,,245,,74.1,10,
"Millet et al., (2003)",2003,45,49,within,37.8,100,T,heterologous,Legs (30km time trial),bilateral,,,,,,,,,,,Y,Handgrip,U,MVC (isometric),S,N,420,Y,N,N,,,,,,149.3,148.4,20.9,13.1,12,
"Place et al., (2004)",2004,46,50,within,29.3,,T,heterologous,Legs (treadmill ergometer),bilateral,22,,3600,1,3600,79200,,,,,N,Handgrip,U,MVC (isometric),S,N,0,Y,N,N,,,,,,112.5,113.75,9.26,9.16,8,Note - relative load of 55%MAV esimated from assuming VO2 at severe/extreme threshold determined from https://www.tandfonline.com/doi/abs/10.1080/17461391.2016.1249524?forwardService=showFullText&tokenAccess=vM4BYUrh49ZczuVdirPe&tokenDomain=eprints&doi=10.1080%2F17461391.2016.1249524&doi=10.1080%2F17461391.2016.1249524&journalCode=tejs20 
"Place et al., (2004)",2004,46,50,within,29.3,,T,heterologous,Legs (treadmill ergometer),bilateral,22,,3600,2,7200,158400,,,,,N,Handgrip,U,MVC (isometric),S,N,0,N,N,N,,,,,,112.5,116.88,9.26,10.33,8,
"Place et al., (2004)",2004,46,50,within,29.3,,T,heterologous,Legs (treadmill ergometer),bilateral,22,,3600,3,10800,237600,,,,,N,Handgrip,U,MVC (isometric),S,N,0,N,N,N,,,,,,112.5,114.38,9.26,9.04,8,
"Place et al., (2004)",2004,46,50,within,29.3,,T,heterologous,Legs (treadmill ergometer),bilateral,22,,3600,4,14400,316800,,,,,N,Handgrip,U,MVC (isometric),S,N,0,N,N,N,,,,,,112.5,111.25,9.26,13.02,8,
"Place et al., (2004)",2004,46,50,within,29.3,,T,heterologous,Legs (treadmill ergometer),bilateral,22,,3600,5,18000,396000,,,,,N,Handgrip,U,MVC (isometric),S,N,0,N,N,N,,,,,,112.5,112.5,9.26,10,8,
"Ross et al., (2010)",2010,47,51,within,31,,T,heterologous,Legs (treadmill ergometer - 10 and 20km),bilateral,,,,,,,,,,,Y,Handgrip,U,MVC (isometric),S,N,0,Y,N,N,,,,,,41.13,41,3.36,3.96,8,
"Ross et al., (2010)",2010,47,51,within,31,,T,heterologous,Legs (treadmill ergometer - 10 and 20km),bilateral,,,,,,,,,,,Y,Handgrip,U,MVC (isometric),S,N,0,N,N,N,,,,,,41.13,40.88,3.36,2.94,8,
"Nunes et al., (2019) MJ first",2019,48,52,within,67.4,0,RA,heterologous,"Upper body (chest press, seated row, elbow extension, elbow flexion)",bilateral,,,,,,3509,,,,,Y,Arms (chest press),U,Volume Load,E,N,180,Y,Y,Y,,1066,,294,45,,1122,,316,45,
"Nunes et al., (2019) MJ first",2019,48,52,within,67.4,0,RA,heterologous,"Upper body (chest press, seated row, elbow extension, elbow flexion)",bilateral,,,,,,3509,,,,,Y,Arms (seated row),U,Volume Load,E,N,600,N,Y,Y,,987,,173,45,,1020,,157,45,
"Nunes et al., (2019) MJ first",2019,48,52,within,67.4,0,RA,heterologous,"Upper body (chest press, seated row, elbow extension, elbow flexion)",bilateral,,,,,,3509,,,,,Y,Elbow Extensors,U,Volume Load,E,N,1020,N,Y,Y,,802,,263,45,,872,,201,45,
"Nunes et al., (2019) MJ first",2019,48,52,within,67.4,0,RA,heterologous,"Upper body (chest press, seated row, elbow extension, elbow flexion)",bilateral,,,,,,3509,,,,,Y,Elbow Flexors,U,Volume Load,E,N,1440,N,Y,Y,,654,,115,45,,634,,117,45,
"Nunes et al., (2019) SJ first",2019,48,52,within,67.4,0,RA,heterologous,"Upper body (chest press, seated row, elbow extension, elbow flexion)",bilateral,,,,,,3597,,,,,Y,Arms (chest press),U,Volume Load,E,N,180,Y,Y,Y,,1086,,318,45,,1105,,266,45,
"Nunes et al., (2019) SJ first",2019,48,52,within,67.4,0,RA,heterologous,"Upper body (chest press, seated row, elbow extension, elbow flexion)",bilateral,,,,,,3597,,,,,Y,Arms (seated row),U,Volume Load,E,N,600,N,Y,Y,,1001,,187,45,,991,,142,45,
"Nunes et al., (2019) SJ first",2019,48,52,within,67.4,0,RA,heterologous,"Upper body (chest press, seated row, elbow extension, elbow flexion)",bilateral,,,,,,3597,,,,,Y,Elbow Extensors,U,Volume Load,E,N,1020,N,Y,Y,,865,,196,45,,886,,189,45,
"Nunes et al., (2019) SJ first",2019,48,52,within,67.4,0,RA,heterologous,"Upper body (chest press, seated row, elbow extension, elbow flexion)",bilateral,,,,,,3597,,,,,Y,Elbow Flexors,U,Volume Load,E,N,1440,N,Y,Y,,645,,123,45,,633,,100,45,
"Nunes et al., (2019) MJ first",2019,48,52,within,67.4,0,RA,heterologous,"Legs (leg press, knee extension, knee flexion, plantar flexion)",bilateral,,,,,,6401,,,,,Y,Legs (leg press),L,Volume Load,E,N,180,Y,Y,Y,,3051,,425,45,,3109,,401,45,
"Nunes et al., (2019) MJ first",2019,48,52,within,67.4,0,RA,heterologous,"Legs (leg press, knee extension, knee flexion, plantar flexion)",bilateral,,,,,,6401,,,,,Y,Knee Extensors,L,Volume Load,E,N,600,N,Y,Y,,977,,241,45,,990,,199,45,
"Nunes et al., (2019) MJ first",2019,48,52,within,67.4,0,RA,heterologous,"Legs (leg press, knee extension, knee flexion, plantar flexion)",bilateral,,,,,,6401,,,,,Y,Knee Flexors,L,Volume Load,E,N,1020,N,Y,Y,,470,,106,45,,445,,131,45,
"Nunes et al., (2019) MJ first",2019,48,52,within,67.4,0,RA,heterologous,"Legs (leg press, knee extension, knee flexion, plantar flexion)",bilateral,,,,,,6401,,,,,Y,Plantar Flexors,L,Volume Load,E,N,1440,N,Y,Y,,1903,,242,45,,1900,,246,45,
"Nunes et al., (2019) SJ first",2019,48,52,within,67.4,0,RA,heterologous,"Legs (leg press, knee extension, knee flexion, plantar flexion)",bilateral,,,,,,6462,,,,,Y,Legs (leg press),L,Volume Load,E,N,180,Y,Y,Y,,3136,,346,45,,3093,,457,45,
"Nunes et al., (2019) SJ first",2019,48,52,within,67.4,0,RA,heterologous,"Legs (leg press, knee extension, knee flexion, plantar flexion)",bilateral,,,,,,6462,,,,,Y,Knee Extensors,L,Volume Load,E,N,600,N,Y,Y,,958,,181,45,,986,,217,45,
"Nunes et al., (2019) SJ first",2019,48,52,within,67.4,0,RA,heterologous,"Legs (leg press, knee extension, knee flexion, plantar flexion)",bilateral,,,,,,6462,,,,,Y,Knee Flexors,L,Volume Load,E,N,1020,N,Y,Y,,474,,122,45,,476,,156,45,
"Nunes et al., (2019) SJ first",2019,48,52,within,67.4,0,RA,heterologous,"Legs (leg press, knee extension, knee flexion, plantar flexion)",bilateral,,,,,,6462,,,,,Y,Plantar Flexors,L,Volume Load,E,N,1440,N,Y,Y,,1894,,234,45,,1900,,246,45,
Salvesen (unpublished MSc thesis),2017,49,53,within,21.8,50,RA,homologous,Knee Extensors,right,100,,100,2,200,20000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,15,Y,N,Y,544.13,557.09,93.93,106.88,17,524.7,540.89,93.93,103.64,17,
Salvesen (unpublished MSc thesis),2017,49,53,within,21.8,50,RA,heterologous,Knee Extensors,right,100,,100,2,200,20000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,30,N,N,Y,307.69,297.98,55.06,61.54,17,272.06,281.78,58.3,51.82,17,
Salvesen (unpublished MSc thesis),2017,49,53,within,21.8,50,RA,homologous,Knee Extensors,right,25,,400,2,800,20000,,,,,N,Knee Extensors,L,MVC (isometric),S,N,15,Y,N,Y,544.13,557.09,93.93,106.88,17,577.96,555.1,101.22,94.69,17,
Salvesen (unpublished MSc thesis),2017,49,53,within,21.8,50,RA,heterologous,Knee Extensors,right,25,,400,2,800,20000,,,,,N,Elbow Flexors,U,MVC (isometric),S,N,30,N,N,Y,307.69,297.98,55.06,61.54,17,323.27,306.94,58.78,55.51,17,
"Ye et al., (2018) - Males",2018,50,54,within,26.3,100,RA,homologous,Elbow Flexors,right,100,,30,6,180,18000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,452.09,417.61,66.65,57.51,10,
"Ye et al., (2018) - Males",2018,50,54,within,26.3,100,RA,heterologous,Elbow Flexors,right,100,,30,6,180,18000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,N,,,,,,851.37,813,224.08,212.84,10,
"Ye et al., (2018) - Males",2018,50,54,within,26.3,100,RA,homologous,Knee Extensors,right,100,,30,6,180,18000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,N,,,,,,838.67,821.77,199.21,249.28,10,
"Ye et al., (2018) - Males",2018,50,54,within,26.3,100,RA,heterologous,Knee Extensors,right,100,,30,6,180,18000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,438.87,411.83,70.6,65.7,10,
"Ye et al., (2018) - Females",2018,50,55,within,27.2,0,RA,homologous,Elbow Flexors,right,100,,30,6,180,18000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,240.04,211.53,65.64,54.15,9,
"Ye et al., (2018) - Females",2018,50,55,within,27.2,0,RA,heterologous,Elbow Flexors,right,100,,30,6,180,18000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,N,,,,,,514.63,526.45,189.11,197.36,9,
"Ye et al., (2018) - Females",2018,50,55,within,27.2,0,RA,homologous,Knee Extensors,right,100,,30,6,180,18000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,0,Y,N,N,,,,,,547.98,563.59,235.8,204.98,9,
"Ye et al., (2018) - Females",2018,50,55,within,27.2,0,RA,heterologous,Knee Extensors,right,100,,30,6,180,18000,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,227.62,216.68,68.67,65.83,9,
"Ciccone et al., (unpublished)",2020,51,56,within,20.6,85.7,T,heterologous,Arms (lat-pulldown),bilateral,80,,38.4,1,38.4,3072,,,,,Y,Legs (leg press),L,90% 1RM Leg Press Repetitions to Failure,E,N,240,Y,N,Y,12.5,9.64,5.45,3.71,14,13.3,8.64,5.08,3.56,14,Used average TUL of pulldown sets
"Ciccone et al., (unpublished)",2020,51,56,within,20.6,85.7,T,heterologous,Arms (lat-pulldown),bilateral,80,,38.4,2,76.8,6144,,,,,Y,Legs (leg press),L,90% 1RM Leg Press Repetitions to Failure,E,N,480,N,N,Y,12.5,8.57,5.45,4.35,14,13.3,6.5,5.08,3.44,14,
"Ciccone et al., (unpublished)",2020,51,56,within,20.6,85.7,T,heterologous,Arms (lat-pulldown),bilateral,80,,38.4,3,115.2,9216,,,,,Y,Legs (leg press),L,90% 1RM Leg Press Repetitions to Failure,E,N,720,N,N,Y,12.5,6.71,5.45,5.24,14,13.3,6.5,5.08,4.43,14,
"Laginestra et al., (2020) - NMES",2020,52,57,within,26,100,RA,homologous,Knee Extensors,,,,,,,,,,,,Y,Knee Extensors,L,85% Peak Power Cycling to Task Failure,E,Y,10,Y,Y,Y,,546,,90,,,324,,72,8,
